1	Hour(UTC)	Latitude	Longitude	Coordinates zone	Coordinates X	Coordinates Y	Depth	Magnitude	Origin	Dx(m)	Dy(m)	Dz(m)	Zone
1093	14:17.7	30.01127571	-91.14158893	15N 	679235	3321489	262	-1.86	Located Shallow Event	20	50	20	TexasBrine				
1094	39:27.7	30.01377016	-91.12979662	15N 	680368	3321784	1938	-0.52	Located Deep Event	90	260	110					
1095	39:42.9	30.01355914	-91.13018416	15N 	680331	3321760	1922	-1.33	Located Deep Event	90	260	110					
1096	40:04.1	30.01349582	-91.13080736	15N 	680271	3321752	1962	-1.34	Located Deep Event	100	260	100					
1097	40:13.4	30.01315194	-91.12566146	15N 	680768	3321722	1202	-1.07	Located Deep Event	80	320	140					
1098	57:54.7	30.01242116	-91.13264172	15N 	680096	3321630	888	-1.47	Located Deep Event	40	120	50					
1099	01:08.1	30.0117828	-91.13089133	15N 	680266	3321562	1400	-1.24	Located Deep Event	50	180	80					
1100	02:21.6	30.01196569	-91.13106413	15N 	680249	3321582	1516	-1.42	Located Deep Event	50	190	80					
1101	37:35.4	30.01760394	-91.12784817	15N 	680549	3322212	120	-1.11	Located Shallow Event	450	160	90					
1102	30:33.8	30.01119438	-91.14158008	15N 	679236	3321480	242	-1.65	Located Shallow Event	40	50	30	TexasBrine				
1103	40:09.6	30.01258989	-91.13245195	15N 	680114	3321649	896	-1.2	Located Deep Event	40	120	50					
1104	53:33.2	30.00889562	-91.13852337	15N 	679535	3321230	1735	-0.94	Located Deep Event	160	120	30	TexasBrine				
1105	45:59.2	30.00784178	-91.14375734	15N 	679032	3321105	1458	-1.23	Located Deep Event	110	140	250	TexasBrine				
1106	30:47.0	30.01275025	-91.12849917	15N 	680495	3321673	1561	-0.76	Located Deep Event	50	230	90					
1107	30:55.4	30.01233531	-91.12913934	15N 	680434	3321626	1617	-1.26	Located Deep Event	60	230	90					
1108	04:46.5	30.0113201	-91.14026116	15N 	679363	3321496	962	-2.16	Located Deep Event	30	20	30	TexasBrine				
1109	27:55.1	30.01320945	-91.13224337	15N 	680133	3321718	898	-1.37	Located Deep Event	50	120	60					
1110	28:32.8	30.01171477	-91.13309036	15N 	680054	3321551	799	-1.69	Located Deep Event	40	150	60					
1111	41:28.1	30.01257508	-91.1326803	15N 	680092	3321647	952	-1.57	Located Deep Event	60	190	90					
1112	40:57.7	30.00935912	-91.14323148	15N 	679080	3321274	240	-1.12	Located Shallow Event	40	90	40	TexasBrine				
1113	25:48.7	30.01488918	-91.12664476	15N 	680670	3321913	1381	-0.72	Located Deep Event	70	250	120					
1114	28:09.9	30.00911472	-91.13998095	15N 	679394	3321252	1523	-0.59	Located Deep Event	110	80	30	TexasBrine				
1115	24:21.3	30.01498471	-91.12638379	15N 	680695	3321924	1140	-0.78	Located Deep Event	60	220	110					
1116	24:28.9	30.01523833	-91.12455441	15N 	680871	3321955	1142	-0.66	Located Deep Event	70	250	120					
1117	24:35.4	30.01440169	-91.12599044	15N 	680734	3321860	1167	-0.73	Located Deep Event	60	250	110					
1118	25:35.2	30.01466856	-91.12699102	15N 	680637	3321888	1343	-0.74	Located Deep Event	60	240	110					
1119	26:05.9	30.01426401	-91.12645954	15N 	680689	3321844	1519	-0.66	Located Deep Event	70	270	120					
1120	19:02.2	30.00338008	-91.14278309	15N 	679134	3320612	1100	-1.48	Located Deep Event	170	160	100	TexasBrine				
1121	29:54.4	30.01276214	-91.13251092	15N 	680108	3321668	885	-1.24	Located Deep Event	40	130	50					
1122	22:10.0	30.01261257	-91.13150814	15N 	680205	3321653	897	-0.9	Located Deep Event	40	130	60					
1123	22:11.6	30.01253018	-91.13205913	15N 	680152	3321643	916	-1.03	Located Deep Event	40	130	60					
1124	22:10.0	30.01253375	-91.13167549	15N 	680189	3321644	915	-0.91	Located Deep Event	30	130	60					
1125	22:11.6	30.01266812	-91.13224315	15N 	680134	3321658	929	-1.01	Located Deep Event	40	130	50					
1126	22:12.9	30.01190423	-91.13245443	15N 	680115	3321573	963	-1.04	Located Deep Event	30	140	50					
1127	07:17.7	30.01044608	-91.1422575	15N 	679172	3321396	272	-1.96	Located Shallow Event	30	50	50	TexasBrine				
1128	07:13.8	30.01077689	-91.142044	15N 	679192	3321433	258	-1.6	Located Shallow Event	30	40	40	TexasBrine				
1129	35:18.0	30.01666126	-91.1288093	15N 	680458	3322106	140	-1.25	Located Shallow Event	390	150	80					
1130	47:30.2	30.01656871	-91.12864516	15N 	680474	3322096	160	-1.18	Located Shallow Event	370	120	70					
1131	47:32.4	30.01728445	-91.13012462	15N 	680330	3322173	220	-1.33	Located Shallow Event	360	130	80					
1132	35:15.6	30.01565813	-91.13186572	15N 	680165	3321990	140	-1.2	Located Shallow Event	380	110	50					
1133	14:48.6	30.00872784	-91.13177793	15N 	680186	3321222	1743	-1.48	Located Deep Event	120	170	70					
1134	46:18.2	29.99956213	-91.14011772	15N 	679398	3320193	1501	-1.09	Located Deep Event	200	40	120	TexasBrine				
1135	51:27.4	30.00939929	-91.143521	15N 	679052	3321278	240	-1.13	Located Shallow Event	20	60	30	TexasBrine				
1136	33:50.4	30.00629939	-91.14378606	15N 	679032	3320934	1079	-1.49	Located Deep Event	70	150	130	TexasBrine				
1137	38:59.0	30.01184629	-91.13218598	15N 	680141	3321567	983	-1.35	Located Deep Event	30	140	60					
1138	48:18.5	30.00950461	-91.14331171	15N 	679072	3321290	240	-1.19	Located Shallow Event	30	60	30	TexasBrine				
1139	32:05.0	30.01327667	-91.12808497	15N 	680534	3321732	1535	-0.01	Located Deep Event	60	240	100					
1140	34:09.4	30.01296434	-91.12896166	15N 	680450	3321696	1597	-1.23	Located Deep Event	50	240	90					
1141	34:15.6	30.01317477	-91.12853267	15N 	680491	3321720	1657	-1.26	Located Deep Event	60	240	90					
1142	14:53.0	30.01167649	-91.13293557	15N 	680069	3321547	912	-1.64	Located Deep Event	30	120	50					
1143	27:11.4	30.01193218	-91.13251611	15N 	680109	3321576	959	-0.84	Located Deep Event	30	120	60					
1144	50:48.0	30.00779376	-91.1435509	15N 	679052	3321100	1460	-1.65	Located Deep Event	120	110	160	TexasBrine				
1145	02:24.3	30.01409594	-91.12352884	15N 	680972	3321830	634	-0.37	Located Deep Event	80	250	110					
1146	02:32.9	30.01393373	-91.12354226	15N 	680971	3321812	664	-0.29	Located Deep Event	80	250	120					
1147	30:26.8	30.01553745	-91.12972198	15N 	680372	3321980	160	-1.17	Located Shallow Event	280	110	70					
1148	02:34.8	30.0134792	-91.12330202	15N 	680995	3321762	711	-0.61	Located Deep Event	60	240	110					
1149	04:13.8	30.01720241	-91.1211999	15N 	681191	3322178	851	-1.06	Located Deep Event	120	290	150					
1150	54:53.4	30.01237798	-91.12706517	15N 	680634	3321634	1318	-1.47	Located Deep Event	40	220	100					
1151	02:29.4	30.01821528	-91.12136741	15N 	681173	3322290	831	-0.39	Located Deep Event	130	280	160					
1152	02:36.4	30.01950526	-91.1226183	15N 	681050	3322431	692	-0.37	Located Deep Event	150	250	150					
1153	44:03.3	30.00738177	-91.1437659	15N 	679032	3321054	1463	-1.65	Located Deep Event	120	140	240	TexasBrine				
1154	40:36.1	30.01254743	-91.13263935	15N 	680096	3321644	900	-1.69	Located Deep Event	40	120	60					
1155	46:09.4	30.00748387	-91.14332862	15N 	679074	3321066	1559	-0.66	Located Deep Event	120	120	230	TexasBrine				
1156	06:12.1	30.00786884	-91.14375683	15N 	679032	3321108	1402	-1.59	Located Deep Event	110	120	180	TexasBrine				
1157	37:32.7	30.01309768	-91.12565212	15N 	680769	3321716	1564	-0.57	Located Deep Event	50	260	110					
1158	37:39.9	30.01254049	-91.12707249	15N 	680633	3321652	1556	-0.99	Located Deep Event	50	240	100					
1159	03:48.5	30.01930372	-91.12240438	15N 	681071	3322409	711	-1.37	Located Deep Event	140	240	130					
1160	11:02.3	30.00538254	-91.14338849	15N 	679072	3320833	1444	-1.43	Located Deep Event	110	160	190	TexasBrine				
1161	14:17.0	30.00821184	-91.14312846	15N 	679092	3321147	1446	-1.51	Located Deep Event	110	120	180	TexasBrine				
1162	03:12.3	30.01250576	-91.13224619	15N 	680134	3321640	721	-1.36	Located Deep Event	40	120	50					
1163	28:22.2	30.01298381	-91.13223723	15N 	680134	3321693	945	-1.6	Located Deep Event	40	130	60					
1164	11:41.7	30.00716914	-91.13256389	15N 	680113	3321048	1903	-0.34	Located Deep Event	220	270	80					
1165	11:43.8	30.00877004	-91.13093746	15N 	680267	3321228	1822	-0.34	Located Deep Event	120	190	70					
1166	54:44.7	30.00736777	-91.13193819	15N 	680173	3321071	1241	-1.85	Located Deep Event	110	170	70					
1167	40:25.2	30.01190507	-91.14015694	15N 	679372	3321561	1027	-1.7	Located Deep Event	30	40	30	TexasBrine				
1168	15:37.3	30.00914011	-91.14241661	15N 	679159	3321251	1037	-1.57	Located Deep Event	60	40	30	TexasBrine				
1169	41:44.7	30.01119467	-91.14160081	15N 	679234	3321480	240	-1.76	Located Shallow Event	20	20	10	TexasBrine				
1170	37:45.6	30.01393266	-91.12599926	15N 	680734	3321808	1502	-0.8	Located Deep Event	60	260	120					
1171	38:42.5	30.01312133	-91.12604561	15N 	680731	3321718	1499	-1.3	Located Deep Event	70	290	130					
1172	39:11.6	30.01328413	-91.12607365	15N 	680728	3321736	1579	-1.11	Located Deep Event	50	270	110					
1173	39:26.5	30.01446574	-91.12478666	15N 	680850	3321869	1677	-0.78	Located Deep Event	70	310	130					
1174	34:41.0	30.01194531	-91.13280613	15N 	680081	3321577	864	-1.13	Located Deep Event	30	130	70					
1175	31:43.4	30.00747514	-91.14334951	15N 	679072	3321065	1520	-1.46	Located Deep Event	130	120	160	TexasBrine				
1176	39:17.9	30.00828083	-91.14354183	15N 	679052	3321154	1394	-1.33	Located Deep Event	120	120	190	TexasBrine				
1177	49:01.9	30.00834929	-91.13944581	15N 	679447	3321168	1781	-0.81	Located Deep Event	150	130	40	TexasBrine				
1178	49:17.6	30.00839115	-91.14049204	15N 	679346	3321171	1777	-0.83	Located Deep Event	160	110	30	TexasBrine				
1179	50:00.0	30.01044723	-91.14042258	15N 	679349	3321399	2015	-0.36	Located Deep Event	220	160	130	TexasBrine				
1180	50:29.5	30.00980822	-91.13989544	15N 	679401	3321329	1898	-0.8	Located Deep Event	190	140	30	TexasBrine				
1181	06:03.5	30.01362776	-91.12993406	15N 	680355	3321768	1683	-0.39	Located Deep Event	60	220	90					
1182	06:13.5	30.01357379	-91.12994544	15N 	680354	3321762	1580	-0.18	Located Deep Event	60	220	90					
1183	06:20.0	30.01390951	-91.13134905	15N 	680218	3321797	1643	-0.78	Located Deep Event	60	210	100					
1184	06:27.4	30.01346246	-91.12972983	15N 	680375	3321750	1636	-0.82	Located Deep Event	60	220	90					
1185	06:35.8	30.01352931	-91.12935536	15N 	680411	3321758	1762	-0.55	Located Deep Event	60	240	100					
1186	06:43.8	30.01355089	-91.12960376	15N 	680387	3321760	1760	-0.5	Located Deep Event	70	230	100					
1187	06:45.9	30.01315906	-91.12933121	15N 	680414	3321717	1719	-0.62	Located Deep Event	60	240	90					
1188	33:44.6	30.00413375	-91.14376419	15N 	679038	3320694	1097	-1.75	Located Deep Event	60	110	80	TexasBrine				
1189	50:02.6	30.01105938	-91.14160333	15N 	679234	3321465	259	-1.41	Located Shallow Event	40	50	20	TexasBrine				
1190	50:03.4	30.01018726	-91.14054147	15N 	679338	3321370	1837	-1.09	Located Deep Event	170	120	60	TexasBrine				
1191	30:15.8	30.00943489	-91.13965361	15N 	679425	3321288	1741	-0.72	Located Deep Event	140	120	20	TexasBrine				
1192	08:35.6	30.00773964	-91.14355191	15N 	679052	3321094	1479	-1.35	Located Deep Event	120	110	220	TexasBrine				
1193	18:07.9	30.01311841	-91.1290106	15N 	680445	3321713	1538	-1.45	Located Deep Event	50	220	90					
1194	42:01.8	30.01361971	-91.12809926	15N 	680532	3321770	1336	-0.4	Located Deep Event	50	210	100					
1195	42:17.7	30.01293136	-91.12917998	15N 	680429	3321692	1343	-0.55	Located Deep Event	50	210	90					
1196	42:41.7	30.01305663	-91.12847268	15N 	680497	3321707	1536	-0.33	Located Deep Event	50	230	100					
1197	42:58.2	30.0134578	-91.12813341	15N 	680529	3321752	1580	-0.52	Located Deep Event	50	240	100					
1198	43:12.2	30.01305073	-91.12805812	15N 	680537	3321707	1620	-0.24	Located Deep Event	50	250	90					
1199	43:24.6	30.01443099	-91.1293177	15N 	680413	3321858	1678	-0.86	Located Deep Event	70	300	120					
1200	51:05.1	30.01081311	-91.14205369	15N 	679191	3321437	280	-1.25	Located Shallow Event	30	40	30	TexasBrine				
1201	44:01.0	30.01222457	-91.12896518	15N 	680451	3321614	1579	-0.92	Located Deep Event	50	220	90					
1202	22:29.7	30.01349361	-91.12747962	15N 	680592	3321757	937	-0.39	Located Deep Event	50	190	90					
1203	32:02.8	30.01064842	-91.1418909	15N 	679207	3321419	1044	-1.66	Located Deep Event	40	30	30	TexasBrine				
1204	27:53.4	30.01249969	-91.13245364	15N 	680114	3321639	898	-1.52	Located Deep Event	40	120	60					
1205	27:54.3	30.01246998	-91.13226759	15N 	680132	3321636	900	-1.55	Located Deep Event	40	120	60					
1206	27:55.5	30.01262641	-91.13248237	15N 	680111	3321653	880	-1.59	Located Deep Event	40	120	60					
1207	16:05.5	30.01267445	-91.1326888	15N 	680091	3321658	888	-0.71	Located Deep Event	40	120	50					
1208	16:06.0	30.01242905	-91.13192626	15N 	680165	3321632	904	-0.71	Located Deep Event	30	120	60					
1209	09:09.7	30.01117663	-91.14160115	15N 	679234	3321478	240	-2.07	Located Shallow Event	20	30	10	TexasBrine				
1210	00:04.2	30.01159427	-91.13477203	15N 	679892	3321535	946	-0.38	Located Deep Event	20	100	50					
1211	24:07.8	30.00816675	-91.1431293	15N 	679092	3321142	1435	-1.2	Located Deep Event	1	1	1	TexasBrine				
1212	26:09.4	30.00726052	-91.14284556	15N 	679121	3321042	1635	-1.63	Located Deep Event	130	110	170	TexasBrine				
1213	47:06.8	30.01044183	-91.13049144	15N 	680307	3321414	1656	-0.97	Located Deep Event	90	220	90					
1214	37:02.1	30.01274633	-91.13012684	15N 	680338	3321670	1537	-1.38	Located Deep Event	50	220	90					
1215	37:50.8	30.01130125	-91.13001919	15N 	680351	3321510	1602	-1.45	Located Deep Event	100	330	110					
1216	37:20.6	30.01060347	-91.13234404	15N 	680128	3321429	1757	-1.6	Located Deep Event	140	240	100					
1217	53:57.4	30.01328224	-91.12911119	15N 	680435	3321731	1779	-0.19	Located Deep Event	60	240	90					
1218	22:11.4	30.01094431	-91.14176098	15N 	679219	3321452	256	-1.85	Located Shallow Event	50	70	30	TexasBrine				
1219	57:16.1	30.01153247	-91.13996693	15N 	679391	3321520	219	-1.62	Located Shallow Event	60	30	10	TexasBrine				
1220	25:36.2	30.01093023	-91.14204114	15N 	679192	3321450	256	-0.87	Located Shallow Event	30	40	40	TexasBrine				
1221	10:28.6	30.01082849	-91.13994897	15N 	679394	3321442	1801	-0.4	Located Deep Event	160	160	40	TexasBrine				
1222	18:52.6	30.00787988	-91.13115111	15N 	680248	3321129	1839	-0.16	Located Deep Event	130	190	60					
1223	19:17.0	30.00757199	-91.1317063	15N 	680195	3321094	1860	-1.36	Located Deep Event	130	190	60					
1224	17:17.1	30.01212649	-91.1322222	15N 	680137	3321598	915	-1.5	Located Deep Event	40	130	60					
1225	01:09.9	30.01794766	-91.12221222	15N 	681092	3322259	894	-1.47	Located Deep Event	120	260	140					
1226	28:18.4	30.00341479	-91.14396416	15N 	679020	3320614	1117	-1.73	Located Deep Event	70	160	90	TexasBrine				
1227	58:37.7	30.00786884	-91.14375683	15N 	679032	3321108	1419	-1.75	Located Deep Event	110	120	220	TexasBrine				
1228	16:31.0	30.01054666	-91.13279087	15N 	680085	3321422	1838	-1.08	Located Deep Event	120	210	80					
1229	32:05.8	30.0120984	-91.13215016	15N 	680144	3321595	906	-0.58	Located Deep Event	30	130	50					
1230	03:34.7	30.01305697	-91.13612345	15N 	679759	3321695	1561	-1.05	Located Deep Event	80	180	80					
1231	33:12.7	30.01209439	-91.1325027	15N 	680110	3321594	896	-1.43	Located Deep Event	30	120	50					
1232	43:32.7	30.012419	-91.13185388	15N 	680172	3321631	898	-1.67	Located Deep Event	40	130	60					
1233	35:26.6	30.01170384	-91.13295579	15N 	680067	3321550	957	-0.99	Located Deep Event	30	120	50					
1234	41:53.4	30.01117678	-91.14161151	15N 	679233	3321478	241	-1.91	Located Shallow Event	30	40	20	TexasBrine				
1235	41:02.0	30.01274341	-91.13182706	15N 	680174	3321667	820	-0.57	Located Deep Event	40	120	60					
1236	25:23.3	30.010892	-91.1316959	15N 	680190	3321462	1618	-1.17	Located Deep Event	40	160	50					
1237	25:48.4	30.01057553	-91.13228237	15N 	680134	3321426	1661	-1.05	Located Deep Event	50	170	50					
1238	25:28.8	30.01072935	-91.13167822	15N 	680192	3321444	1640	-1.31	Located Deep Event	60	210	60					
1239	47:45.1	30.01141191	-91.13145809	15N 	680212	3321520	1340	-0.75	Located Deep Event	20	150	50					
1240	47:51.0	30.01164594	-91.13205497	15N 	680154	3321545	1320	-0.9	Located Deep Event	20	160	50					
1241	47:51.0	30.01200703	-91.13206893	15N 	680152	3321585	1321	-0.91	Located Deep Event	20	150	50					
1242	48:05.7	30.01154471	-91.13127936	15N 	680229	3321535	1400	-1.16	Located Deep Event	20	150	50					
1243	48:21.7	30.01104494	-91.13102957	15N 	680254	3321480	1499	-0.86	Located Deep Event	60	230	90					
1244	48:44.8	30.0105942	-91.13169112	15N 	680191	3321429	1437	-1.04	Located Deep Event	40	150	50					
1245	49:12.7	30.01205198	-91.13205773	15N 	680153	3321590	1480	-1.05	Located Deep Event	20	190	60					
1246	49:19.1	30.01180266	-91.13229047	15N 	680131	3321562	1402	-0.79	Located Deep Event	30	170	60					
1247	49:27.3	30.01128555	-91.13272519	15N 	680090	3321504	1499	-1.07	Located Deep Event	30	150	50					
1248	49:31.5	30.01140256	-91.1320699	15N 	680153	3321518	1420	-0.84	Located Deep Event	20	160	50					
1249	49:46.0	30.01168232	-91.13207502	15N 	680152	3321549	1600	-1.06	Located Deep Event	30	180	50					
1250	49:55.4	30.01063867	-91.13228118	15N 	680134	3321433	1562	-1.2	Located Deep Event	50	210	50					
1251	50:33.5	30.01135794	-91.13146946	15N 	680211	3321514	1479	-0.72	Located Deep Event	30	170	50					
1252	22:54.1	30.0133598	-91.13266559	15N 	680092	3321734	880	-0.55	Located Deep Event	40	130	50					
1253	45:17.3	30.01248724	-91.13284781	15N 	680076	3321637	915	-1.75	Located Deep Event	40	120	60					
1254	37:26.4	29.9995696	-91.14064622	15N 	679347	3320193	1437	-1.2	Located Deep Event	220	30	110					
1255	13:16.3	30.01123075	-91.14160014	15N 	679234	3321484	241	-1.35	Located Shallow Event	10	30	10					
1256	57:51.6	30.01246327	-91.13306597	15N 	680055	3321634	917	-1.69	Located Deep Event	40	110	50					
1257	08:57.6	30.01273714	-91.13265653	15N 	680094	3321665	879	-1.89	Located Deep Event	40	120	60					
1258	25:25.3	30.0105371	-91.14167527	15N 	679228	3321407	197	-1.92	Located Shallow Event	50	50	10					
1259	47:08.0	30.01250635	-91.13228765	15N 	680130	3321640	896	-0.56	Located Deep Event	30	120	50					
1260	47:12.7	30.01258915	-91.13240013	15N 	680119	3321649	901	-0.94	Located Deep Event	40	120	60					
1261	52:26.1	30.00798025	-91.1433401	15N 	679072	3321121	1503	-1.2	Located Deep Event	130	110	190	TexasBrine				
1262	19:41.7	30.01064607	-91.13216701	15N 	680145	3321434	1782	-1.42	Located Deep Event	130	210	90					
1263	11:30.6	30.00833274	-91.13190974	15N 	680174	3321178	1804	-0.71	Located Deep Event	120	180	70					
1264	19:42.3	30.01368574	-91.12957013	15N 	680390	3321775	1700	-1.36	Located Deep Event	70	240	100					
1265	44:35.9	30.00640358	-91.13902602	15N 	679491	3320953	813	-1.59	Located Deep Event	70	30	20	TexasBrine				
1266	44:39.9	30.00640446	-91.1390882	15N 	679485	3320953	811	-1.89	Located Deep Event	70	40	10	TexasBrine				
1267	12:31.9	30.00782984	-91.14355023	15N 	679052	3321104	1441	-1.07	Located Deep Event	120	110	190	TexasBrine				
1268	40:53.8	30.00784788	-91.1435499	15N 	679052	3321106	1478	-1.64	Located Deep Event	120	110	190	TexasBrine				
1269	24:56.7	30.01421357	-91.13052436	15N 	680297	3321832	1920	-0.15	Located Deep Event	90	260	110					
1270	26:16.3	30.0135288	-91.13058904	15N 	680292	3321756	1918	-1.39	Located Deep Event	90	250	110					
1271	38:04.5	30.0108964	-91.13964707	15N 	679423	3321450	1886	-0.12	Located Deep Event	180	160	40	TexasBrine				
1272	35:43.9	30.01081926	-91.1316558	15N 	680194	3321454	1747	-1.71	Located Deep Event	130	230	110					
1273	18:21.2	29.99918054	-91.13865294	15N 	679540	3320153	1421	-0.93	Located Deep Event	220	30	120	TexasBrine				
1274	22:45.0	30.00927907	-91.13948029	15N 	679442	3321271	1655	-1.32	Located Deep Event	120	100	30	TexasBrine				
1275	24:02.5	30.00895837	-91.1404089	15N 	679353	3321234	1814	-1.17	Located Deep Event	160	130	30	TexasBrine				
1276	11:31.0	30.01358322	-91.12743647	15N 	680596	3321767	1195	-1.47	Located Deep Event	50	230	100					
1277	05:35.6	30.01284325	-91.12869439	15N 	680476	3321683	1477	-1.12	Located Deep Event	50	220	90					
1278	05:52.8	30.01344536	-91.12852758	15N 	680491	3321750	1502	-1.02	Located Deep Event	50	230	100					
1279	22:23.1	30.01039472	-91.13543721	15N 	679830	3321401	805	-1.41	Located Deep Event	30	70	30					
1280	49:47.2	30.01167012	-91.14013023	15N 	679375	3321535	918	-1.89	Located Deep Event	20	20	20	TexasBrine				
1281	03:26.9	30.01350255	-91.1293766	15N 	680409	3321755	1659	-1.08	Located Deep Event	60	240	100					
1282	03:47.9	30.01301294	-91.12603729	15N 	680732	3321706	1525	-0.88	Located Deep Event	50	260	110					
1283	30:24.3	30.00592665	-91.14358568	15N 	679052	3320893	1104	-0.97	Located Deep Event	70	150	130	TexasBrine				
1284	09:45.6	30.01536974	-91.13443181	15N 	679918	3321954	143	-1.46	Located Shallow Event	170	40	40					
1285	18:26.8	30.01480596	-91.13412099	15N 	679949	3321892	144	-1.41	Located Shallow Event	100	70	30					
1286	04:43.5	30.01374441	-91.13433784	15N 	679930	3321774	120	-1.57	Located Shallow Event	100	90	20					
1287	03:11.2	30.01379532	-91.12459193	15N 	680870	3321795	1640	-1.34	Located Deep Event	60	280	120					
1288	15:38.1	30.01429124	-91.13408916	15N 	679953	3321835	141	-1.33	Located Shallow Event	120	70	30					
1289	21:26.1	30.01462571	-91.13413473	15N 	679948	3321872	142	-1.39	Located Shallow Event	110	60	30					
1290	59:10.1	30.01241954	-91.13252771	15N 	680107	3321630	906	-1.54	Located Deep Event	30	120	50					
1291	18:02.1	30.00381868	-91.14445421	15N 	678972	3320658	1325	-1.03	Located Deep Event	100	210	180	TexasBrine				
1292	55:40.1	30.0081938	-91.1431288	15N 	679092	3321145	1438	-1.36	Located Deep Event	120	100	170	TexasBrine				
1293	32:48.2	30.00328968	-91.14404942	15N 	679012	3320600	1439	-1.47	Located Deep Event	110	170	160	TexasBrine				
1294	29:54.0	30.01499449	-91.13405525	15N 	679955	3321913	141	-1.42	Located Shallow Event	100	70	20					
1295	33:50.6	30.01478792	-91.13412133	15N 	679949	3321890	142	-1.37	Located Shallow Event	100	70	30					
1296	38:16.9	30.01500974	-91.13385799	15N 	679974	3321915	142	-1.19	Located Shallow Event	120	70	20					
1297	10:01.6	30.01229468	-91.13326609	15N 	680036	3321615	819	-1.52	Located Deep Event	40	100	40					
1298	10:02.5	30.01225017	-91.1333084	15N 	680032	3321610	819	-1.62	Located Deep Event	40	100	40					
1299	10:02.8	30.0122138	-91.13328834	15N 	680034	3321606	823	-1.81	Located Deep Event	40	100	50					
1300	50:49.0	30.00828504	-91.13109169	15N 	680253	3321174	1797	-0.75	Located Deep Event	110	190	70					
1301	50:52.0	30.00789214	-91.13137894	15N 	680226	3321130	1781	-0.87	Located Deep Event	120	190	60					
1302	03:24.3	30.01084264	-91.13139619	15N 	680219	3321457	1033	-0.79	Located Deep Event	30	150	70					
1303	00:07.7	30.0124914	-91.13250563	15N 	680109	3321638	966	-1.67	Located Deep Event	30	130	50					
1304	44:01.0	30.00576697	-91.14441795	15N 	678972	3320874	1319	-1.34	Located Deep Event	110	230	270	TexasBrine				
1305	21:49.6	30.01352008	-91.12743765	15N 	680596	3321760	1738	-0.6	Located Deep Event	60	260	110					
1306	22:01.1	30.01443495	-91.12642523	15N 	680692	3321863	1447	-1.05	Located Deep Event	70	260	130					
1307	51:42.0	30.00822141	-91.13169413	15N 	680195	3321166	1899	-0.6	Located Deep Event	130	190	70					
1308	33:24.2	30.01480865	-91.13367515	15N 	679992	3321893	141	-1.52	Located Shallow Event	100	70	20					
1309	07:41.5	30.00828985	-91.14354166	15N 	679052	3321155	1403	-1.67	Located Deep Event	120	110	190	TexasBrine				
1310	55:20.1	30.0106368	-91.13151408	15N 	680208	3321434	1373	-1.42	Located Deep Event	50	160	60					
1311	55:21.8	30.01075744	-91.13175026	15N 	680185	3321447	1420	-1.63	Located Deep Event	80	190	100					
1312	09:04.6	30.0078508	-91.14375717	15N 	679032	3321106	1443	-1.1	Located Deep Event	120	120	210	TexasBrine				
1313	11:46.1	30.01148723	-91.13995741	15N 	679392	3321515	958	-2.06	Located Deep Event	20	30	20	TexasBrine				
1314	11:47.9	30.01151429	-91.1399569	15N 	679392	3321518	957	-2.19	Located Deep Event	20	30	20	TexasBrine				
1315	10:58.4	30.01239797	-91.13227931	15N 	680131	3321628	915	-1.7	Located Deep Event	40	140	70					
1316	25:04.8	30.01251709	-91.13304422	15N 	680057	3321640	823	-1.68	Located Deep Event	40	110	50					
1317	51:15.9	30.01285088	-91.12606107	15N 	680730	3321688	1699	-0.52	Located Deep Event	70	280	130					
1318	51:19.7	30.01386613	-91.12576207	15N 	680757	3321801	1600	-0.55	Located Deep Event	60	270	120					
1319	51:36.2	30.01405816	-91.12720983	15N 	680617	3321820	1661	-0.96	Located Deep Event	70	280	130					
1320	15:38.7	30.01327349	-91.12976447	15N 	680372	3321729	1661	-1.31	Located Deep Event	60	230	100					
1321	22:31.1	30.01218066	-91.1334963	15N 	680014	3321602	836	-1.58	Located Deep Event	40	100	50					
1322	15:20.5	30.01277739	-91.13231367	15N 	680127	3321670	975	-1.42	Located Deep Event	30	130	60					
1323	31:06.1	30.00976753	-91.13893211	15N 	679494	3321326	1798	-0.9	Located Deep Event	140	120	30	TexasBrine				
1324	31:18.5	30.01089602	-91.14025871	15N 	679364	3321449	2063	-1.01	Located Deep Event	210	160	150	TexasBrine				
1325	31:25.8	30.0104141	-91.13935544	15N 	679452	3321397	1929	-0.76	Located Deep Event	170	130	30	TexasBrine				
1326	26:42.2	30.01214099	-91.12562864	15N 	680773	3321610	1584	-0.57	Located Deep Event	60	270	120					
1327	27:22.0	30.0126489	-91.12581606	15N 	680754	3321666	1637	-0.34	Located Deep Event	60	310	130					
1328	54:09.8	30.01090887	-91.13161265	15N 	680198	3321464	1305	-1	Located Deep Event	40	150	60					
1329	56:30.9	30.01009889	-91.13111987	15N 	680247	3321375	1683	-1.09	Located Deep Event	90	190	70					
1330	21:26.4	30.01363161	-91.12576648	15N 	680757	3321775	1642	-0.33	Located Deep Event	60	270	120					
1331	21:52.3	30.01291265	-91.11837807	15N 	681471	3321707	2277	-0.29	Located Deep Event	90	400	170					
1332	08:02.9	30.01124879	-91.1415998	15N 	679234	3321486	260	-2.02	Located Shallow Event	20	20	20	TexasBrine				
1333	25:56.6	30.01350919	-91.12540594	15N 	680792	3321762	1400	-0.19	Located Deep Event	60	260	120					
