1-no,2-depth,3-lat,4-lon,5-maxampZ,6-maxampX,7-maxampY,8-slopZ,9-slopeX,10-slopeY,11-spectralcentZ,12-speccenX,13-speccentY,14-maximumfrequencyampZ,15-rec,16-az,17-dip,18-dd_re,19-dipp,20-DR,21-crossdeep,22-crossshallow,23-Otsu,24-cwtDEEP(meancc),25-cwtSHAL(meancc),26-cwtDEEP(pickcc),27-cwtSHAL(pickcc),28-semblanceDEEP,29-semblanceSHAL,class
246,80,30.009,-91.143,341.71,307.42,246.99,6.445,3.5211,4.4321,144.66,117.24,138.2,0.1147,0.70144,-10.521,48.689,0.52687,0.75113,0.0035072,0.16334,0.10129,114,0.04885,0.04104,203,175,0.4662,2747,shallow
247,60,30.01,-91.141,1804,631.76,416.59,25.7,11.096,4.0316,105.18,132.86,129.27,1.1384,0.91771,-9.3612,77.178,0.89482,0.97506,0.0045885,0.23695,0.13869,117,0.045521,0.038637,205,179,0.4991,2838,shallow
248,60,30.01,-91.141,9445.2,5943.8,10639,56.114,14.17,48.78,103.35,100.1,89.345,28.88,0.90731,29.846,-3.0431,0.048166,0.053087,-0.0045366,0.14603,0.31421,105,0.088247,0.075476,173,145,0.4974,3366,shallow
249,60,30.01,-91.141,8.42E+05,3.40E+05,7.56E+05,4618.3,1828.2,3555.5,76.424,114.57,91.472,1197.3,0.90124,77.494,35.792,0.52708,0.58484,-0.0045062,0.22262,0.15842,117,0.045351,0.039605,197,172,0.5257,2599,shallow
250,60,30.01,-91.141,14160,28432,44240,46.041,156.38,268.8,63.432,104.39,78.483,121.71,0.8376,88.281,50.267,0.64414,0.76903,0.004188,0.066054,0.66433,104,0.068071,0.061481,174,146,0.499,3387,shallow
251,60,30.01,-91.141,10290,3146.6,6394.1,149.02,56.716,103.09,117.41,131.9,132.68,13.417,0.86914,50.043,85.06,0.86591,0.99629,0.0043457,0.16129,0.39647,123,0.063491,0.051732,190,163,0.5298,2985,shallow
252,60,30.01,-91.141,3.99E+05,2.64E+05,2.79E+05,4669.7,840.39,2750.6,146.78,116.89,144.66,384.88,0.9225,-76.761,72.338,0.87901,0.95286,0.0046125,0.19542,0.24613,96,0.066201,0.055976,193,165,0.4955,2449,shallow
253,60,30.01,-91.141,6.96E+05,9.54E+05,1.11E+06,6101.2,9101.3,4194.9,114.55,103.96,129.61,371.05,0.83597,-0.65986,14.425,0.20825,0.24911,-0.0041798,0.13782,0.19193,102,0.068864,0.062026,199,169,0.5021,2663,shallow
254,80,30.009,-91.143,3.48E+05,4.44E+05,5.72E+05,1215.6,1926,2117.7,93.743,137.57,94.346,760.61,0.84059,-69.35,38.922,0.52811,0.62826,-0.004203,0.10873,0.36007,87,0.054459,0.049528,192,165,0.5009,2889,shallow
255,80,30.009,-91.143,66585,2.10E+05,59794,900.51,663.99,953.24,147.22,77.526,105.02,68.094,0.50958,-65.426,0.84901,0.0075507,0.014817,-0.0025479,0.11525,0.18717,88,0.06175,0.054473,189,162,0.5032,2856,shallow
256,80,30.009,-91.143,1694.1,996.05,712.08,29.156,14.84,13.033,173.18,147.38,163.97,2.1667,0.81641,-47.223,77.696,0.79766,0.97703,0.0040821,0.15239,0.24372,86,0.069483,0.058786,188,160,0.4908,2833,shallow
257,80,30.009,-91.143,69948,97247,38134,558.72,1027.1,337,112.71,140.71,128.84,17.82,0.94458,-19.767,23.804,0.38124,0.40361,-0.0047229,0.12187,0.09513,88,0.069693,0.064838,197,170,0.4918,3104,shallow
258,80,30.009,-91.143,2694.5,1466.6,1644.5,14.832,9.4317,10.661,149.73,131.74,142.45,3.2119,0.71454,28.438,27.841,0.3337,0.46701,-0.0035727,0.084175,0.34331,94,0.076993,0.068367,187,160,0.4904,2695,shallow
259,80,30.009,-91.143,152.15,109.85,250.66,1.8807,1.0848,0.65536,180.27,148.1,98.942,0.16185,0.46796,45.946,59.901,0.40486,0.86516,0.0023398,0.13786,0.11361,118,0.07629,0.064009,206,179,0.5036,2722,shallow
260,119,30.01,-91.143,864.61,600.38,558.25,9.1873,1.9549,2.0386,118.18,101.85,111.32,0.54062,0.90846,-56.786,69.749,0.8523,0.93819,0.0045423,0.12932,0.065863,104,0.061279,0.057126,214,187,0.5084,2609,shallow
261,119,30.01,-91.143,13382,20712,33187,36.408,62.189,258.33,58.593,104.8,75.545,91.835,0.78412,-78.655,7.6291,0.1041,0.13276,-0.0039206,0.1259,0.4291,112,0.084028,0.075303,177,229,0.5034,2584,shallow
262,119,30.01,-91.143,7393.9,6536,4177.7,40.599,15.142,20.719,106.07,115.75,109.95,10.926,0.93212,10.267,0.51808,0.0084283,0.0090421,-0.0046606,0.11235,0.30854,114,0.075478,0.068765,185,145,0.5009,2757,shallow
263,119,30.01,-91.143,2.26E+05,3.40E+05,1.49E+05,922.26,1611.4,333.88,114.94,115.72,102.58,81.266,0.99541,89.994,1.4615,0.025388,0.025505,-0.004977,0.1339,0.08394,91,0.06218,0.060273,219,192,0.5079,2587,shallow
264,119,30.01,-91.143,57944,1.34E+05,1.18E+05,262.19,471.22,616.64,133.66,87.6,83.056,191.51,0.78485,-64.983,-1.1303,0.015483,0.019727,-0.0039243,0.08617,0.39298,99,0.084836,0.078328,182,150,0.7565,6538,shallow
265,119,30.01,-91.143,4979.5,3629.8,3579.4,37.645,8.1626,55.695,142.09,87.223,94.383,2.9975,0.89261,58.298,57.511,0.7529,0.84349,0.004463,0.11286,0.22088,93,0.074464,0.063102,217,159,0.5295,2987,shallow
266,119,30.01,-91.143,4.66E+05,3.12E+05,6.73E+05,1895.7,1126.4,1275.8,105.11,108.08,65.826,215.54,0.87333,-58.244,73.312,0.83655,0.95788,0.0043667,0.12683,0.068178,97,0.059249,0.054889,217,191,0.4926,2511,shallow
267,119,30.01,-91.143,4.88E+06,3.45E+06,1.89E+06,10098,11844,6930.3,60.192,110.6,103.54,8841.4,0.82072,-19.25,17.283,0.24383,0.29709,-0.0041036,0.16164,0.34695,120,0.045944,0.042674,193,166,0.5025,2805,shallow
268,160,30.01,-91.143,1.78E+05,1.90E+05,3.63E+05,501.42,566.1,1047.9,97.423,110.63,94.205,223.44,0.85621,-65.988,-1.3712,0.020489,0.02393,-0.004281,0.14554,0.14991,121,0.048412,0.044196,197,170,0.495,3234,shallow
269,160,30.01,-91.143,49700,81839,45727,100.97,255.59,123.83,82.982,77.563,99.387,90.899,0.91447,-0.53414,2.2905,0.036548,0.039966,-0.0045723,0.12846,0.2642,88,0.05991,0.057707,194,168,0.51,2798,shallow
270,160,30.01,-91.143,832.62,378.94,621.69,6.4239,2.0375,1.6699,113.28,98.077,85.371,1.0746,0.87403,-81.214,76.505,0.8499,0.97239,0.0043702,0.13509,0.19721,94,0.083447,0.077191,194,241,0.501,2803,shallow
271,160,30.01,-91.143,26346,41565,41347,39.256,1534.5,833.8,53.916,100,109.82,34.763,0.68015,50.156,1.2381,0.014696,0.021607,-0.0034007,0.20498,0.21296,110,0.073091,0.063658,203,177,0.5192,2868,shallow
272,160,30.01,-91.143,2.42E+05,2.64E+05,89943,2384.5,3486.5,603.86,77.565,92.971,102.41,668.9,0.83238,-6.6337,52.704,0.66217,0.79552,0.0041619,0.098975,0.26771,116,0.070443,0.059404,189,162,0.4835,2729,shallow
273,160,30.01,-91.143,5437.9,5009.8,5126.2,50.229,71.814,29.835,90.375,107.54,75.151,4.0849,0.63218,-20.748,45.989,0.45466,0.71921,0.0031609,0.19909,0.21997,114,0.084786,0.067094,190,162,0.5271,2674,shallow
274,160,30.01,-91.143,217.19,93.34,204.26,1.277,0.50265,1.8107,122.54,101.6,119.87,0.26874,0.63146,-86.026,31.634,0.3312,0.52449,0.0031573,0.14238,0.086988,113,0.068689,0.066707,207,179,0.5047,2505,shallow
275,140,30.01,-91.144,153.33,112.75,141.21,1.8899,0.35809,0.71191,117.88,95.779,134.72,0.14052,0.8154,-89.281,67.184,0.7516,0.92176,0.004077,0.16774,0.081408,119,0.072883,0.066962,206,248,0.4955,3219,shallow
276,140,30.01,-91.144,1439.2,752.39,867.96,10.402,7.5877,7.3119,114.11,99.59,106.4,1.9076,0.70575,-33.964,6.3283,0.077791,0.11023,-0.0035287,0.092441,0.43726,104,0.074362,0.070438,187,236,0.5079,3289,shallow
277,140,30.01,-91.144,41175,42398,23998,529.82,662.22,238.29,125.85,124.06,146.76,42.527,0.55348,3.3378,44.506,0.38798,0.70098,0.0027674,0.13525,0.16246,90,0.088587,0.082969,204,244,0.507,3292,shallow
278,140,30.01,-91.144,2071.8,791.17,1789.4,33.031,12.206,27.109,163.14,155.14,118.49,0.30128,0.71571,63.226,69.991,0.67251,0.93964,0.0035786,0.14903,0.11442,86,0.066147,0.059879,193,190,0.4696,2605,shallow
279,140,30.01,-91.144,2.49E+05,88945,1.66E+05,3890.9,586.88,587.04,122.01,138.9,85.632,90.108,0.83168,-69.918,79.723,0.81834,0.98396,0.0041584,0.13019,0.13522,86,0.054846,0.049114,197,167,0.4885,2619,shallow
280,140,30.01,-91.144,7.63E+05,1.63E+06,8.33E+05,13378,29695,14632,94.145,174.16,153.62,1231.8,0.79133,-20.433,6.4151,0.088416,0.11173,-0.0039567,0.12817,0.3788,87,0.051974,0.045835,191,164,0.5729,2679,shallow
281,60,30.01,-91.142,6.33E+05,5.91E+05,1.20E+06,2260.5,6562.1,3715.4,85.294,154.72,87.958,1051.6,0.78389,-12.208,3.6436,0.049816,0.06355,-0.0039194,0.16532,0.41293,123,0.0562,0.048736,190,163,0.4769,3225,shallow
282,60,30.01,-91.142,1.43E+05,4.92E+05,1.44E+05,1974.8,1610.9,2836.5,148.43,76.912,137.15,14.446,0.61421,10.602,9.3817,0.10012,0.16301,-0.003071,0.13217,0.08864,83,0.069102,0.062638,208,187,0.5174,2524,shallow
283,60,30.01,-91.142,3883.2,1414.9,1838.3,70.506,29.247,38.262,143.4,119.6,136.48,2.9913,0.85635,75.762,77.981,0.83757,0.97808,0.0042817,0.2271,0.16152,114,0.065897,0.056868,198,170,0.5499,2901,shallow
284,60,30.01,-91.142,16338,16705,29385,34.097,48.761,112.15,56.048,120.54,81.443,96.78,0.55213,-69.258,46.001,0.39717,0.71935,0.0027606,0.060177,0.78544,103,0.059293,0.053774,178,151,0.5033,2358,shallow
285,60,30.01,-91.142,1.60E+05,1.69E+05,47019,700.38,788.92,195.81,103.77,150.97,100.77,146.56,0.99793,-89.717,0.22426,0.003906,0.0039141,-0.0049896,0.18058,0.18906,102,0.047845,0.046198,202,176,0.4909,3483,shallow
286,60,30.01,-91.142,3152.5,2202.6,3058.9,14.065,10.19,11.916,136.46,131.84,134.41,5.1996,0.9575,41.738,-0.35348,0.0059072,0.0061693,-0.0047875,0.13226,0.49971,101,0.07341,0.066987,178,150,0.5111,3343,shallow
287,60,30.01,-91.142,4040,10934,6885.6,9.1195,51.37,31.62,83.399,102.84,100.34,32.701,0.70887,35.623,-0.53426,0.0066098,0.0093244,-0.0035444,0.084691,0.60446,107,0.076417,0.068492,176,149,0.5159,3413,shallow
288,60,30.01,-91.142,414.87,261.56,227.14,7.0811,4.9185,3.8007,142.88,172.57,125.24,0.17317,0.73629,-57.504,73.387,0.70555,0.95826,0.0036814,0.15714,0.085956,116,0.056793,0.047584,208,180,0.4999,3248,shallow
289,-12345,-12345,-12345,640.71,476.52,526.3,2.8972,2.1993,2.3662,168.84,220.5,193.11,0.14833,0.83233,80.642,43.325,0.57109,0.68614,0.0041616,0.13654,0.16694,115,0.11995,0.11418,224,176,0.5043,2888,shallow
290,-12345,-12345,-12345,64874,88442,22669,307.73,486.24,108.22,171.16,166.74,182.87,8.1899,0.67394,84.607,40.181,0.43483,0.64521,0.0033697,0.13657,0.062113,113,0.077284,0.067588,213,187,0.8056,6996,shallow
291,-12345,-12345,-12345,461.53,388.83,356.67,9.9358,8.568,7.4677,260.3,253,232.89,0.014585,0.67424,-35.542,60.123,0.58463,0.8671,0.0033712,0.23136,0.057504,113,0.089732,0.095215,228,202,0.5482,2619,shallow
292,-12345,-12345,-12345,26196,33919,28376,162.69,198.28,176.27,204.99,182.8,216.08,2.4169,0.73449,-56.419,71.557,0.69676,0.94864,0.0036724,0.15554,0.071095,82,0.062539,0.055631,230,206,0.5232,3133,shallow
293,-12345,-12345,-12345,69300,99915,92507,352.63,1175.7,975.3,201.37,227.12,181.07,57.755,0.55069,-52.572,-22.565,0.21131,0.38373,-0.0027534,0.11503,0.16121,88,0.092962,0.080046,184,233,0.4971,3200,shallow
294,-12345,-12345,-12345,2.15E+06,1.54E+06,2.13E+06,5576.4,11545,7059.9,69.779,130.81,112.96,6229.3,0.75975,-32.99,-5.0482,0.066853,0.087994,-0.0037988,0.070004,0.58961,126,0.057311,0.049854,185,159,0.5008,2642,shallow
295,-12345,-12345,-12345,6.95E+05,1.43E+06,1.23E+06,2166,4362.9,3729.3,100.15,71.911,72.952,1104.7,0.51998,-5.6609,14.744,0.13233,0.2545,-0.0025999,0.16545,0.30695,120,0.057493,0.050698,192,163,0.5136,2645,shallow
296,-12345,-12345,-12345,9387.3,7283.7,11456,303.64,23.687,35.835,120.73,79.958,71.902,11.602,0.74202,-69.414,46.586,0.53901,0.72641,0.0037101,0.14537,0.30986,90,0.070294,0.060901,189,163,0.4691,2505,shallow
297,-12345,-12345,-12345,71460,63250,1.60E+05,219.28,654.12,478.32,64.907,97.44,66.69,607.21,0.66914,-48.94,0.32381,0.0037816,0.0056515,-0.0033457,0.045469,0.78023,99,0.064939,0.055069,176,149,0.4776,3560,shallow
298,-12345,-12345,-12345,5.01E+05,6.76E+05,1.44E+05,1666,1943,556.55,97.788,88.537,140.91,1100.6,0.99803,-89.645,-0.11473,0.0019985,0.0020024,-0.0049901,0.095681,0.24955,91,0.053602,0.050891,192,165,0.5001,2605,shallow
299,-12345,-12345,-12345,7959.1,7376.6,7559.7,30.623,21.776,21.999,94.424,134.46,128.21,36.726,0.77701,48.923,-0.3063,0.0041538,0.0053459,-0.003885,0.081306,0.57223,118,0.070629,0.063739,176,150,0.5061,2592,shallow
300,-12345,-12345,-12345,28036,37207,59903,49.984,111.26,138.46,115.65,95.11,95.938,176.16,0.88858,-86.039,32.171,0.47312,0.53245,-0.0044429,0.065454,0.71661,133,0.060729,0.054241,177,150,0.5065,2889,shallow
301,-12345,-12345,-12345,1783.5,569.36,1237,21.765,6.9366,13.745,144.79,131.31,142.14,0.86841,0.88277,-63.654,52.796,0.70312,0.79649,0.0044139,0.16249,0.11943,116,0.059673,0.052888,199,176,0.5016,2409,shallow
302,-12345,-12345,-12345,2239.4,2429.5,386.16,14.946,15.669,2.8384,76.284,76.451,100.31,2.29,0.84218,23.381,66.979,0.77511,0.92036,0.0042109,0.16388,0.10697,116,0.035465,0.030496,207,181,0.5022,2878,shallow
303,-12345,-12345,-12345,4682.8,2198.3,5585.7,31.226,13.795,37.992,96.96,84.751,87.11,1.4308,0.96106,9.7909,0.79404,0.013319,0.013858,-0.0048053,0.16724,0.11196,98,0.050004,0.043522,212,184,0.5165,3127,shallow
304,-12345,-12345,-12345,1.52E+05,69676,1.21E+05,1114.9,458.67,871.03,97.703,113.05,91.825,50.476,0.71132,73.693,33.814,0.39585,0.5565,0.0035566,0.20912,0.11159,116,0.050464,0.043777,211,168,0.4864,3498,shallow
305,-12345,-12345,-12345,835.61,555.23,1081.3,4.3128,2.7391,5.6505,102.08,122.15,110.23,0.76622,0.84554,-38.914,23.818,0.34145,0.40383,-0.0042277,0.17416,0.11563,109,0.046259,0.039607,208,182,0.5019,2648,shallow
306,-12345,-12345,-12345,43882,68790,44317,231.46,277.45,201.82,67.28,76.806,79.558,86.428,0.89765,28.132,45.463,0.63984,0.7128,0.0044882,0.12646,0.29292,93,0.051928,0.045497,192,165,0.4928,2609,shallow
307,-12345,-12345,-12345,50182,37087,75226,268.97,96.295,231.21,95.985,155.54,117.23,47.582,0.85706,-0.80096,45.697,0.61336,0.71566,0.0042853,0.13827,0.16399,123,0.096346,0.080356,209,164,0.5123,2572,shallow
308,-12345,-12345,-12345,211.83,130.18,430.08,1.8515,1.5308,4.3906,259.81,206.89,272.06,0.048717,0.42577,-10.23,31.929,0.22518,0.52887,0.0021289,0.17687,0.1311,109,0.15719,0.12977,162,191,0.8325,7545,shallow
309,-12345,-12345,-12345,3761,4244.2,4476.6,32.081,32.676,39.459,220.19,258.92,224.43,0.65537,0.6815,40.207,-12.102,0.14288,0.20965,-0.0034075,0.16796,0.11193,118,0.10092,0.086713,199,165,0.5109,2512,shallow
310,-12345,-12345,-12345,38.696,69.976,69.745,1.6293,3.6592,3.1414,248.97,286.57,277.86,0.028082,0.67468,34.072,19.039,0.22009,0.32622,-0.0033734,0.19889,0.093338,113,0.099703,0.083571,201,252,0.4762,2763,shallow
311,-12345,-12345,-12345,2.27E+06,2.51E+06,4.23E+06,20197,28261,16435,98.448,188.44,100.19,6808.8,0.60684,17.601,24.8,0.25454,0.41946,-0.0030342,0.12979,0.38937,123,0.063745,0.053368,191,165,0.5324,2611,shallow
312,-12345,-12345,-12345,5.42E+05,7.07E+05,5.45E+05,8367.7,5882,2116.8,133.8,116.32,91.663,467.48,0.79352,-30.059,34.939,0.45445,0.5727,-0.0039676,0.17103,0.18812,93,0.074331,0.063958,195,166,0.4906,2618,shallow
313,-12345,-12345,-12345,6761.8,4071.7,6984.8,102.6,106.53,115.12,187.93,136.47,123.31,5.7635,0.91692,87.665,32.686,0.49517,0.54004,-0.0045846,0.17828,0.24325,85,0.066218,0.056204,192,166,0.5201,2775,shallow
314,-12345,-12345,-12345,2833.6,5588.8,8714.6,3.398,9.6432,15.415,89.723,99.234,134.09,8.1993,0.85817,-0.4106,25.042,0.36325,0.42328,-0.0042908,0.13839,0.39461,129,0.05751,0.054198,193,164,0.5113,2539,shallow
315,-12345,-12345,-12345,8661,19311,15441,15.763,67.69,28.251,79.066,91.436,89.801,40.92,0.91361,-71.278,80.582,0.90129,0.98652,0.004568,0.11624,0.55489,102,0.061887,0.05908,179,153,0.5097,3502,shallow
316,-12345,-12345,-12345,21083,16856,34289,35.971,56.269,72.366,80.692,112.15,80.267,158.11,0.66802,-33.675,83.058,0.66312,0.99267,0.0033401,0.058841,0.49604,128,0.05378,0.05314,182,154,0.505,3099,shallow
317,-12345,-12345,-12345,75874,72780,51323,284.59,301.64,197.74,153.67,112.55,149.98,39.081,0.97934,89.663,2.4219,0.041385,0.042258,-0.0048967,0.11715,0.12683,104,0.059294,0.057367,203,170,0.4959,3473,shallow
318,-12345,-12345,-12345,1360.9,1864.3,1256.2,2.6073,3.9984,5.273,101,105.33,125.4,4.4582,0.93335,40.616,0.10149,0.0016533,0.0017713,-0.0046668,0.124,0.28595,107,0.07166,0.072684,188,162,0.5239,2659,shallow
319,-12345,-12345,-12345,9597.9,8871.1,11143,13.349,15.426,20.794,47.676,94.826,97.764,48.269,0.9157,10.443,62.993,0.81585,0.89095,0.0045785,0.067915,0.66685,135,0.04819,0.04389,179,153,0.4955,2899,shallow
320,-12345,-12345,-12345,657.08,287.86,683.24,14.427,0.98457,10.621,192.13,135.51,125.66,0.17927,0.84889,-85.115,47.182,0.62267,0.73351,0.0042445,0.1799,0.080434,114,0.058573,0.050272,215,173,0.4904,2730,shallow
321,-12345,-12345,-12345,516.77,841.39,666.82,4.428,6.9614,1.8115,187.45,196.98,125.16,0.22438,0.64006,-6.5837,44.651,0.44982,0.70278,0.0032003,0.1602,0.078805,110,0.054585,0.046483,211,183,0.4809,2929,shallow
322,-12345,-12345,-12345,1448.1,3816,5584.7,5.4552,21.882,23.828,84.182,108.2,87.392,9.9331,0.68918,78.457,34.833,0.39365,0.57118,0.0034459,0.067449,0.5439,115,0.076084,0.068605,173,142,0.5041,2679,shallow
323,-12345,-12345,-12345,1182.1,586.75,1704.9,4.0636,1.535,7.5693,104.56,121.49,113.95,5.6477,0.86628,11.471,-2.1784,0.032928,0.038011,-0.0043314,0.14113,0.5488,134,0.062322,0.06314,176,149,0.5098,2662,shallow
324,-12345,-12345,-12345,34867,43923,25540,52.576,74.837,33.273,140.38,134.46,130.73,32.066,0.63687,-20.286,4.4839,0.04979,0.078179,-0.0031844,0.18887,0.17462,110,0.05834,0.06042,203,176,0.511,3025,shallow
325,-12345,-12345,-12345,2133.2,5438.7,5578.1,3.6874,46.145,38.295,144.22,94.57,88.836,14.065,0.89812,-60.578,-9.3045,0.14521,0.16168,-0.0044906,0.070026,0.50696,121,0.068825,0.063883,178,151,0.4818,3574,shallow
326,-12345,-12345,-12345,9388.3,2852.7,4163.4,100.93,30.102,43.759,238.67,226.14,184.48,0.62106,0.78646,58.647,72.498,0.75005,0.95371,0.0039323,0.16242,0.084659,89,0.052647,0.045581,221,187,0.4936,2619,shallow
327,-12345,-12345,-12345,5.13E+05,2.26E+05,3.81E+05,4977,2167.5,3593.7,180.29,163.18,189.69,166.73,0.68532,61.08,66.564,0.62878,0.91751,0.0034266,0.20096,0.085149,76,0.046916,0.041692,210,183,0.4976,2602,shallow
328,-12345,-12345,-12345,9.71E+05,1.48E+06,9.21E+05,10551,20586,12280,137.93,188.99,164.74,1374.9,0.75191,-10.77,30.913,0.38628,0.51374,-0.0037595,0.087958,0.43268,91,0.071525,0.059664,188,162,0.47,3188,shallow
329,-12345,-12345,-12345,2.42E+06,1.82E+06,3.39E+06,30006,23637,51377,119.51,152.46,151.74,2870.2,0.76494,-77.416,44.368,0.5349,0.69927,0.0038247,0.1693,0.32204,120,0.059659,0.049949,191,165,0.5055,3036,shallow
330,-12345,-12345,-12345,4.07E+05,4.20E+05,4.34E+05,7356.9,1425.1,7468.1,185.5,91.111,151.21,268.74,0.67394,-55.791,27.478,0.31096,0.46141,-0.0033697,0.18985,0.1677,89,0.06268,0.05279,192,165,0.4838,2997,shallow
331,-12345,-12345,-12345,8293.9,3928.1,8920.1,153.67,112.11,174.31,233.58,258.84,153.5,1.0029,0.65733,78.56,20.04,0.22525,0.34268,-0.0032866,0.22894,0.12845,85,0.054536,0.046908,222,167,0.5265,2893,shallow
332,-12345,-12345,-12345,4006.7,6926.8,7676.3,4.9735,11.04,24.165,102.84,98.235,106.35,20.517,0.88206,-81.007,58.532,0.75234,0.85293,0.0044103,0.061283,0.59593,131,0.057619,0.057687,179,152,0.502,3179,shallow
333,-12345,-12345,-12345,46006,39716,29422,106.23,113.03,156.74,131.74,128.66,129.82,16.31,0.84606,4.2529,-0.35326,0.0052164,0.0061655,-0.0042303,0.10384,0.20128,91,0.067749,0.070345,185,157,0.5109,3223,shallow
334,-12345,-12345,-12345,1148.1,864.75,1344.9,2.1235,4.2225,2.5225,116.9,132.33,121.91,2.4739,0.70894,-12.752,7.1835,0.088651,0.12505,-0.0035447,0.11539,0.217,128,0.05463,0.05267,191,165,0.4893,3221,shallow
335,-12345,-12345,-12345,1357.6,892.77,1429.6,2.1744,3.17,2.6582,109.39,143.64,128.3,3.2538,0.71138,-15.827,79.833,0.70021,0.9843,0.0035569,0.1231,0.27422,94,0.064773,0.068264,191,165,0.499,3067,shallow
336,-12345,-12345,-12345,1252.4,779.66,632.03,16.573,8.5857,7.499,161.67,223.11,173.83,0.53485,0.80871,-85.702,85.731,0.80646,0.99723,0.0040435,0.23558,0.099075,110,0.051715,0.044607,202,173,0.523,2619,shallow
337,-12345,-12345,-12345,457.12,458.12,230.28,7.4986,4.7752,3.7948,137.03,111.31,131.88,0.12031,0.75835,31.161,34.651,0.43118,0.56857,-0.0037917,0.15077,0.076957,113,0.048413,0.042023,210,183,0.4959,3316,shallow
338,-12345,-12345,-12345,489.95,345.03,905.61,1.4955,0.58749,5.3859,86.29,96.663,110.41,2.5381,0.9754,48.679,-4.8269,0.082076,0.084146,-0.004877,0.10702,0.5274,131,0.06332,0.060247,179,152,0.5049,2715,shallow
339,-12345,-12345,-12345,16678,21727,18285,65.39,88.653,197.54,117.44,125.17,127.37,17.769,0.98825,77.244,9.6917,0.16637,0.16835,-0.0049412,0.14507,0.12426,103,0.066578,0.064055,202,174,0.4883,3376,shallow
340,-12345,-12345,-12345,2563.7,7441.6,7754.6,4.5819,24.086,26.892,106.83,109.06,102.51,5.072,0.70627,-53.873,16.986,0.20633,0.29214,-0.0035314,0.14328,0.36078,102,0.069903,0.069142,199,157,0.4992,3354,shallow
341,-12345,-12345,-12345,1655.3,3688.2,5113.7,4.3095,12.525,19.846,74.999,103.6,90.942,1.0418,0.99703,-89.066,85.16,0.99347,0.99643,0.0049851,0.14333,0.30881,111,0.069795,0.065064,172,140,0.4933,3490,shallow
342,-12345,-12345,-12345,4577.1,2085.5,4720.3,127.1,69.167,152.26,186.73,215.56,158.31,0.53384,0.87951,78.742,51.748,0.69067,0.78529,0.0043975,0.19872,0.057241,111,0.042642,0.033746,217,186,0.4596,3181,shallow
343,-12345,-12345,-12345,4.55E+05,2.57E+05,2.74E+05,10823,4426,7090.2,169.69,95.573,85.006,38.678,0.78825,-35.134,17.437,0.23621,0.29966,-0.0039412,0.20382,0.067859,115,0.041842,0.033293,215,185,0.5322,2656,shallow
344,-12345,-12345,-12345,1.32E+06,7.01E+05,1.31E+06,17656,2821.6,5004.5,90.634,107.24,86.66,2409.2,0.86199,-86.148,70.84,0.81424,0.9446,0.00431,0.18127,0.37996,121,0.05986,0.049388,191,164,0.4826,3166,shallow
345,-12345,-12345,-12345,9.67E+05,4.67E+05,4.65E+05,3903.9,1816.8,2003.6,76.577,112.97,102.52,1255.8,0.86646,-60.878,16.854,0.25121,0.28993,-0.0043323,0.21227,0.19077,121,0.042898,0.03732,196,170,0.5029,2602,shallow
346,-12345,-12345,-12345,89005,59149,50279,292.67,319.14,562.78,107.41,137.86,106.04,153.52,0.56415,-22.269,-2.2834,0.022477,0.039843,-0.0028207,0.13155,0.2477,120,0.060635,0.052567,194,168,0.515,2791,shallow
347,-12345,-12345,-12345,849.21,696.93,1089,8.6331,7.1351,11.244,171.33,157.18,144.35,0.14064,0.46401,-78.169,7.1848,0.058033,0.12507,-0.00232,0.14403,0.11343,106,0.072951,0.062059,219,166,0.4991,2698,shallow
348,-12345,-12345,-12345,17318,29327,16955,55.843,180.95,95.018,86.932,112.79,118.1,83.059,0.75691,-83.545,39.784,0.48435,0.6399,0.0037845,0.053772,0.77049,101,0.068176,0.057912,178,151,0.5018,2485,shallow
349,-12345,-12345,-12345,95109,2.98E+05,1.08E+05,231.55,798.35,258.71,108.59,67.923,82.793,178.93,0.6337,46.659,-0.6191,0.0068472,0.010805,-0.0031685,0.13296,0.26517,90,0.048293,0.046001,192,165,0.519,2455,shallow
350,-12345,-12345,-12345,3679.9,3252.1,1705.3,11.318,10.308,5.6869,101.56,89.303,119.04,3.855,0.92291,60.914,-0.060428,0.00097336,0.0010547,-0.0046145,0.13541,0.28307,108,0.068128,0.062569,191,163,0.4962,2843,shallow
351,-12345,-12345,-12345,564.83,135.01,488.7,6.648,1.7142,4.3875,103.86,173.87,103.81,0.43599,0.93768,-78.867,42.384,0.63208,0.6741,-0.0046884,0.22568,0.15755,116,0.058655,0.050816,199,172,0.5284,3203,shallow
352,-12345,-12345,-12345,1431.4,418.98,504.2,23.57,9.1837,7.8711,146.87,148.63,199.4,0.47099,0.9462,66.673,82.338,0.93775,0.99107,0.004731,0.18001,0.11276,112,0.050882,0.043754,202,174,0.5355,2973,shallow
353,-12345,-12345,-12345,3579.9,7629,7205.4,6.4252,19.923,23.174,88.143,95.387,89.253,7.9226,0.87564,-13.296,33.473,0.48296,0.55155,-0.0043782,0.22905,0.19777,108,0.063056,0.062756,200,174,0.5035,3243,shallow
354,-12345,-12345,-12345,3072.8,6834.4,6341.8,11.571,33.816,14.914,75.723,96.866,115.55,12.959,0.9877,4.942,89.238,0.98762,0.99991,0.0049385,0.088053,0.40511,128,0.084583,0.070334,178,150,0.4939,3400,shallow
