1-no,2-depth,3-lat,4-lon,5-maxampZ,6-maxampX,7-maxampY,8-slopZ,9-slopeX,10-slopeY,11-spectralcentZ,12-speccenX,13-speccentY,14-maximumfrequencyampZ,15-rec,16-az,17-dip,18-dd_re,19-dipp,20-DR,21-crossdeep,22-crossshallow,23-Otsu,24-cwtDEEP(meancc),25-cwtSHAL(meancc),26-cwtDEEP(pickcc),27-cwtSHAL(pickcc),28-semblanceDEEP,29-semblanceSHAL,class
25,160,30.01,-91.143,9929.5,27969,20583,96.619,245.31,217.19,184.32,179.01,163.48,1.6988,0.59133,30.817,18.878,0.19133,0.32356,-0.0029566,0.13359,0.085577,114,0.075521,0.06674,228,202,0.5141,2460,deep
26,40,30.009,-91.136,257.43,317.5,390.29,1.7596,1.0024,2.1538,147.25,140.55,147.88,0.21926,0.80909,17.189,45.787,0.57992,0.71676,0.0040454,0.11587,0.12697,108,0.11638,0.10035,149,184,0.5045,2901,deep
27,40,30.009,-91.136,570.16,1095.8,1248.9,7.6445,12.178,11.425,301.22,339.52,295.39,1.6355,0.60414,-47.515,-4.0082,0.042229,0.0699,-0.0030207,0.15222,0.41232,94,0.11158,0.084184,178,212,0.8553,7990,deep
28,40,30.009,-91.136,269.27,620.72,877.52,1.6868,4.5062,4.7723,170.04,169.22,188.48,0.11431,0.70471,-46.05,4.547,0.055867,0.079276,-0.0035235,0.12425,0.059409,111,0.061344,0.060163,225,198,0.5073,2727,deep
29,100,30.009,-91.143,195.1,131.91,227.53,1.0511,0.71331,0.99679,152.14,130.79,136.62,0.46204,0.78467,32.366,72.073,0.74657,0.95145,0.0039233,0.13099,0.10034,111,0.083482,0.08822,202,174,0.5108,2799,deep
30,100,30.009,-91.143,17.872,74.744,170.45,0.010292,0.061566,0.26891,228.86,249.54,273.13,0.092494,0.89911,31.539,-11.757,0.18321,0.20377,-0.0044955,0.099226,0.17724,104,0.09906,0.11041,202,237,0.4889,2978,deep
31,100,30.009,-91.143,5916.1,4304.2,5266.9,39.638,17.021,16.596,137.91,139.84,134.3,19.424,0.80136,32.394,54.342,0.65111,0.81251,0.0040068,0.17067,0.088844,117,0.07553,0.079051,201,253,0.499,2777,deep
32,100,30.009,-91.143,399.66,869.23,931.99,2.6943,6.1619,6.7302,299.26,288.44,301.73,0.2634,0.66301,-6.3967,1.9584,0.022658,0.034175,-0.003315,0.20567,0.044384,107,0.063647,0.059224,203,174,0.495,2729,deep
33,100,30.009,-91.143,17947,48668,21571,105.57,336.3,247.39,263.73,197.97,229.82,0.97115,0.52339,56.576,46.913,0.38224,0.73032,0.002617,0.13248,0.045289,99,0.060952,0.05489,225,214,0.4934,2903,deep
34,181,30.009,-91.143,26608,19108,15103,141.58,264,34.292,119.09,151.85,152.08,70.969,0.77905,16.083,2.8023,0.038088,0.04889,-0.0038953,0.083365,0.28023,89,0.071993,0.067916,192,164,0.5107,3168,deep
35,181,30.009,-91.143,767.11,730.79,1077.2,3.8395,7.2363,6.3048,109.58,165.77,105.01,2.886,0.48741,-23.05,34.914,0.27897,0.57235,0.0024371,0.12016,0.29248,100,0.087415,0.085068,177,231,0.4923,3168,deep
36,181,30.009,-91.143,1822.1,1862.2,1909.6,18.472,20.491,16.698,189.61,224.69,176.4,1.0447,0.60047,17.648,19.764,0.20304,0.33814,-0.0030023,0.14421,0.080075,108,0.057231,0.052455,209,181,0.4862,2716,deep
37,181,30.009,-91.143,33516,64072,52522,313.27,480.53,539.23,187.21,155.72,181.8,33.457,0.77303,89.091,0.91552,0.012352,0.015978,-0.0038651,0.15478,0.16841,90,0.07686,0.072136,196,164,0.4829,3064,deep
38,181,30.009,-91.143,1015.9,945.04,1118.6,10.775,8.2811,11.428,175.34,221.85,219.03,1.6672,0.61723,70.065,43.08,0.42158,0.68302,0.0030862,0.17091,0.31009,94,0.08408,0.077229,187,159,0.4821,2483,deep
39,181,30.009,-91.143,34449,52259,74725,476.35,322.4,215.48,104.16,155.75,163.15,87.155,0.63704,86.047,41.004,0.41797,0.65611,0.0031852,0.1003,0.21476,123,0.072175,0.064685,194,167,0.5021,3130,deep
40,160,30.013,-91.137,351.27,413.52,376.73,3.9368,4.5319,2.8482,120.14,120.65,126.99,0.1157,0.72581,-16.089,32.662,0.39171,0.53969,-0.0036291,0.17256,0.052265,111,0.035596,0.029138,219,193,0.4886,2585,deep
41,160,30.013,-91.137,220.11,108.09,284.78,1.071,0.66385,1.1647,111.68,81.583,96.087,0.15275,0.85702,-79.748,-8.5777,0.12783,0.14915,-0.0042851,0.11525,0.15311,118,0.1404,0.12523,216,171,0.49,2632,deep
42,160,30.013,-91.137,320.94,567.06,464.29,5.03,11.361,10.47,329.73,342.27,364.25,0.021375,0.65835,37.113,-25.019,0.27843,0.42292,-0.0032918,0.19014,0.052205,107,0.068952,0.057013,228,181,0.5318,2827,deep
43,160,30.013,-91.137,8361.1,24645,10733,136.68,178.87,126.11,114.01,126.75,101.47,5.7228,0.86038,0.020242,5.1177,0.076748,0.089203,-0.0043019,0.18712,0.076242,117,0.078749,0.0643,210,183,0.4947,3398,deep
44,120,30.01,-91.143,578.49,404.08,388.78,4.7753,3.6561,3.7159,203.55,245.36,264.38,0.14254,0.34089,4.4933,2.8607,0.017013,0.049908,-0.0017045,0.18796,0.052114,100,0.049242,0.044119,214,186,0.5154,2884,deep
45,120,30.01,-91.143,203.3,158.62,238.53,0.72593,2.2888,0.99311,145.84,210.88,173.39,0.16091,0.64465,5.2953,27.824,0.3009,0.46676,-0.0032232,0.10792,0.10398,100,0.082129,0.080105,211,252,0.5068,2628,deep
46,120,30.01,-91.143,234.04,440.8,289.33,3.9711,4.0175,2.3892,307.06,310.62,274.24,0.036831,0.50119,36.547,9.4726,0.082484,0.16458,-0.002506,0.18106,0.063932,103,0.065538,0.053466,226,200,0.5459,2557,deep
47,120,30.01,-91.143,10376,15640,15740,188.13,139.28,131,173.24,160.05,205.67,11.517,0.70899,73.434,50.233,0.54497,0.76865,0.003545,0.17807,0.12423,108,0.061011,0.054303,206,178,0.5204,3365,deep
48,120,30.009,-91.144,46.593,187.04,236.69,1.5932,2.3062,2.2968,257.9,262.98,275.57,0.022632,0.80799,-61.127,2.2296,0.031433,0.038903,-0.0040399,0.09181,0.028567,104,0.081296,0.087695,228,272,0.4958,2813,deep
49,120,30.009,-91.144,145.67,292.36,223.81,1.4065,3.0197,3.1975,209.85,252.72,250.85,0.454,0.67065,-34.393,-12.379,0.14377,0.21438,-0.0033533,0.11913,0.27226,99,0.088434,0.081682,180,135,0.5151,2891,deep
50,120,30.009,-91.144,8479.1,17619,12460,167.85,538.04,296.05,269.69,196.06,183.41,1.7301,0.91503,25.677,9.5939,0.1525,0.16666,-0.0045752,0.14718,0.055494,105,0.051155,0.042006,221,193,0.5062,3005,deep
51,40,30.009,-91.136,322.6,332.52,239.8,1.6411,2.3461,1.0345,75.688,89.096,98.568,0.32221,0.96228,-1.4379,3.8133,0.063997,0.066506,-0.0048114,0.11642,0.20196,102,0.07156,0.069839,204,174,0.4967,3204,deep
